,2025.12.22.-2026.01.05. Nincs aktivitás mérés!,,,,
Pozició,Név,1. hét,2. hét,3.hét,4. hét(01.05-01.11)
Member,Acrox,3916,3221,3202,
Member,Arixiana ,380,380,420,
Member,Axiking,2752,3295,3365,
Member,Aza'el,2244,1315,0,
STAFF,AzAtya,4675,4695,4735,
Member,BalintHun,-,-,1430,
Member,Bambinocska,-,-,2455,
STAFF,Belzebub,2486,2444,4267,
Member,BetegUr,760,80,0,
Member,Biguuu,0,2805,3279,
Member,Brusu,1751,1829,2885,
Member,Brutrak,2235,2490,2847,
Member,Casuãl$,2760,1875,1710,
Member,ChickenLeeGirls,2773,2222,2815,
Member,Devcore,-,-,3825,
Member,Dezran,1300,2933,2992,
Member,Disprove,-,-,1090,
Leader,EpresShake,4425,4043,4655,
Member,Euril,1366,1710,1750,
Member,Evieler,1165,640,135,
Member,Fapukli,2010,1940,2545,
Member,FinyaKo,515,2495,1535,
Member,GhoostR,-,-,1500,
Member,Giliszta,520,955,1380,
Member,Groim,2879,3679,1410,
Member,GSGAzazel,750,750,1070,
Member,GyilkosLelo,-,2210,2420,
Member,Gyuszkó,960,2365,2490,
Member,Hackex,2764,2719,2230,
Member,HelloKitti,-,1400,1390,
Member,Hercion ,2534,2837,2915,
Member,Hosszúpálca,1120,1591,1400,
Member,icekocka ,-,1395,2182,
Member,Izlanzadi,1010,980,1162,
Member,Jenerys,1540,2000,1820,
Member,JociAym,-,1418,2647,
Member,kendrawr,-,-,1270,
Member,kicsifoxi,2850,2726,1980,
Member,Kinai bocsi,2178,3385,2170,
Member,KopaszKutya,460,1705,780,
Member,Lecsapakuki,-,-,2855,
Member,Liohana,4235,4705,4725,
Member,Lissbon,-,-,-,
Member,LowFastFoxy,4350,3749,4565,
Member,Lowfax,2205,1350,0,
Member,Lumirie,2050,3373,4095,
DEV/STAFF,Minike,-,1070,2915,
Member,Mitsukira,3125,3860,3965,
Member,Moruu,-,-,1915,
Member,MrHeŁŁ,3211,2305,1685,
Member,Nerevarines,-,3435,2660,
Member,Neyressa,-,1340,1295,
Member,Nikora,48,-,1380,
Member,Nithon,-,-,2480,
Member,Noxiona,2493,2397,1260,
Member,Pasz,4665,4325,4585,
Member,PontoS,-,-,1935,
Member,Pusztulat,715,560,120,
Member,R-ven,-,3075,4005,
Member,Raijhin,-,1895,1390,
Member,RainComes,2155,2398,1890,
STAFF,Ramszesz,2320,3942,4655,
Member,RaveAssassin,4005,3176,2320,
STAFF,RawOne,1395,2367,1629,
Member,REES,2953,3177,4325,
Member,Reiachan,-,-,140,
Member,Rongyi ,-,2415,3540,
Member,Rosse ,1385,2780,3080,
Member,RynunKirin,-,900,1221,
Member,SakuraSparkle,-,-,2810,
Member,Shirayin,795,520,1370,
Member,Shortmonkei,3847,4210,2870,
Member,ShuSooSanyi,1426,690,2100,
Member,Skecci,-,950,1460,
Member,Solzer,2415,2910,2678,
Member,Soybex,3568,4647,4385,
Member,Sworley,2310,1915,1750,
Member,Szamoráj,900,660,515,
Member,Tsurata,2030,2290,1450,
STAFF,vnorbyy,-,-,4655,
Member,Vubey,4695,4205,4685,
Member,WeyLyn,2060,2440,2160,
Member,XAltyk,-,-,2540,
Member,XenLei,800,-,1975,
HR,Xertis,3157,3557,3885,
Member,Xertissa,3155,3677,3875,
Member,XiaYzhouu,2380,3340,2943,
Member,xSailyx,-,1105,2725,
Member,Yoursecretkink,-,-,0,
STAFF,zacskosleves,-,-,1030,
Member,Zarache,3147,4435,4275,
Member,Zoeka,-,-,1995,
Member,ZuZu,1948,2078,2440,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,(-) új emberek,,,,
,(0) aktivitás ,,,,
